Index,X,Y,Width,Height,Rank
2733,272,588,143,116,0.917053879
2734,1104,851,145,172,0.333579662
2735,1564,877,132,139,0.062926304
2736,288,252,42,35,0.606783021
2737,470,873,94,132,0.605322689
2738,1332,817,155,25,0.664713792
2739,1382,776,122,181,0.057310081
2740,791,607,95,177,0.139257895
2741,1004,693,180,30,0.142749745
2742,267,513,115,64,0.056496792
2743,344,141,151,75,0.198380893
2744,663,647,13,190,0.776392067
2745,734,248,60,84,0.339934113
2746,935,162,197,159,0.869060904
2747,422,513,130,166,0.903024253
2748,807,393,53,187,0.299807963
2749,1163,338,27,25,0.110424464
2750,1079,601,112,67,0.649376625
2751,1095,99,162,73,0.091340271
2752,480,332,111,97,0.258261159
2753,424,751,100,186,0.577814034
2754,1372,994,45,69,0.977597146
2755,405,248,66,191,0.250136919
2756,618,665,197,90,0.395292491
2757,1211,918,94,120,0.818953057
2758,1200,156,72,125,0.91766693
2759,259,137,49,75,0.464836005
2760,1549,588,179,151,0.707137076
2761,56,789,34,128,0.331492477
2762,1328,800,18,22,0.820290315
2763,1047,721,68,132,0.391865715
2764,944,398,133,173,0.401450202
2765,1697,988,26,197,0.603538282
2766,1058,986,104,152,0.385638902
2767,1718,765,84,101,0.119884577
2768,914,955,123,140,0.246549171
2769,1688,375,142,152,0.107597405
2770,1105,499,93,89,0.444796774
2771,244,909,132,57,0.110827657
2772,207,150,60,135,0.915117359
2773,1098,698,199,27,0.985992803
2774,924,845,119,159,0.566786667
2775,1085,286,127,25,0.003653238
2776,993,988,30,188,0.417057768
2777,1151,51,24,115,0.089370503
2778,799,718,30,112,0.81260429
2779,536,407,158,51,0.553014289
2780,442,388,33,121,0.147219903
2781,505,200,200,130,0.091004119
2782,446,153,44,74,0.085112387
2783,586,797,136,10,0.031804235
2784,1068,806,174,111,0.026503409
2785,647,647,34,90,0.05305123
2786,1572,534,17,155,0.785881049
2787,56,389,187,46,0.067439876
2788,1678,67,168,82,0.120037245
2789,103,689,167,54,0.463660507
2790,79,963,137,15,0.496480908
2791,951,616,158,167,0.154578846
2792,802,809,112,64,0.376243452
2793,363,593,199,120,0.796814778
2794,420,192,104,42,0.227721402
2795,1571,280,25,99,0.400603151
2796,1593,202,20,50,0.538827882
2797,474,263,183,114,0.312487379
2798,1433,909,100,159,0.465950525
2799,671,800,50,167,0.324857527
2800,399,850,113,101,0.599457907
2801,1456,517,88,13,0.004001725
2802,1056,869,123,46,0.993543541
2803,1335,716,48,73,0.652608544
2804,1401,223,65,20,0.3231105
2805,1142,550,14,123,0.252885775
2806,461,77,126,176,0.715194172
2807,344,527,126,89,0.367711691
2808,279,806,161,21,0.306559706
2809,889,178,148,124,0.859635488
2810,1747,380,182,105,0.296110376
2811,1173,553,156,147,0.675021402
2812,272,362,17,25,0.675579046
2813,830,369,177,29,0.409508351
2814,284,875,88,85,0.670164851
2815,1738,870,134,156,0.984730895
2816,1000,491,116,94,0.004869027
2817,1201,404,76,142,0.628428732
2818,691,396,157,191,0.313296854
2819,1256,97,169,197,0.482042672
2820,1461,408,46,149,0.964711083
2821,79,310,167,91,0.653294715
2822,418,680,103,157,0.905866957
2823,572,115,99,104,0.593151414
2824,1486,821,198,117,0.864022387
2825,230,206,146,197,0.378837554
2826,116,631,119,33,0.806951039
2827,368,808,100,146,0.078439314
2828,80,156,40,167,0.437753839
2829,1134,345,44,87,0.052356013
2830,1094,503,23,161,0.535216274
2831,1339,998,170,147,0.676902688
2832,1182,320,91,156,0.582085873
2833,476,737,191,91,0.441702733
2834,142,79,179,155,0.992921593
2835,1222,354,37,154,0.890385885
2836,1706,706,78,68,0.451041424
2837,454,584,75,137,0.047342999
2838,1600,252,101,54,0.835294195
2839,282,178,177,192,0.238345128
2840,1593,659,11,135,0.440697455
2841,1551,665,32,101,0.497056215
2842,974,378,58,63,0.930984185
2843,802,481,21,142,0.31901129
2844,1029,401,169,90,0.502822048
2845,1069,904,75,194,0.352217478
2846,1493,174,25,87,0.497345788
2847,1414,168,162,40,0.397273652
2848,1455,801,156,69,0.423061995
2849,434,399,58,70,0.691868075
2850,306,562,70,159,0.702950604
2851,545,392,160,112,0.255108044
2852,246,426,124,170,0.193659371
2853,1660,203,55,130,0.649728467
2854,414,932,33,91,0.201273619
2855,832,191,110,55,0.003391453
2856,1304,234,63,88,0.784070966
2857,1552,471,159,200,0.79591055
2858,280,582,168,109,0.288012202
2859,1370,908,116,52,0.401147204
2860,1669,722,118,184,0.527614341
2861,1596,802,72,93,0.244129908
2862,800,555,185,191,0.263764009
2863,122,550,22,143,0.93757391
2864,1189,982,20,38,0.37450277
2865,1056,797,58,115,0.924539493
2866,634,341,135,195,0.125822184
2867,53,543,197,68,0.194394104
2868,251,812,27,172,0.088327569
2869,485,322,143,119,0.752539196
2870,264,639,43,166,0.157734463
2871,800,943,141,164,0.695735193
2872,1548,555,153,114,0.003969507
2873,1289,906,161,62,0.888938905
2874,92,251,37,123,0.338646087
2875,744,313,188,169,0.00228665
2876,1178,694,118,124,0.536725415
2877,1419,931,77,108,0.921551836
2878,1750,457,55,84,0.525222849
2879,1763,169,18,13,0.612902142
2880,1067,131,147,66,0.763677703
2881,394,532,99,96,0.830568656
2882,576,358,109,137,0.050146892
2883,431,517,135,64,0.39686784
2884,441,780,19,167,0.685524644
2885,1289,333,60,190,0.971148544
2886,408,624,97,149,0.290275626
2887,248,880,188,141,0.322234402
2888,1766,119,164,39,0.872290864
2889,919,541,26,45,0.641422915
2890,1059,206,26,22,0.318146247
2891,1432,885,194,60,0.236780115
2892,77,370,68,78,0.143823491
2893,1024,690,115,74,0.235144782
2894,151,335,191,106,0.245417644
2895,1032,591,62,123,0.640672851
2896,1105,938,179,98,0.036973226
2897,77,656,59,187,0.952841348
2898,500,287,113,113,0.67836378
2899,1394,286,93,79,0.81048004
2900,866,780,167,174,0.998993516
2901,1414,524,103,15,0.8285859
2902,1120,684,149,143,0.347599481
2903,1628,711,44,59,0.074152802
2904,730,291,51,53,0.581123698
2905,60,446,123,15,0.051844268
2906,836,660,12,173,0.74871237
2907,1797,226,142,122,0.171188465
2908,886,57,84,107,0.413127927
2909,1729,470,158,111,0.621969532
2910,1568,533,60,136,0.307439233
2911,441,668,118,103,0.966566658
2912,1055,206,158,200,0.356807635
2913,1284,275,177,89,0.177806431
2914,608,179,64,174,0.870803834
2915,895,955,13,19,0.58133903
2916,1530,402,59,145,0.646476785
2917,262,986,135,87,0.534729669
2918,1324,925,38,156,0.94295667
2919,1122,952,180,107,0.158314194
2920,262,804,119,171,0.253635907
2921,782,144,40,145,0.685298728
2922,761,208,32,146,0.81938689
2923,1003,495,57,94,0.645770711
2924,193,590,177,73,0.855085848
2925,481,451,10,62,0.159969542
2926,1376,403,176,194,0.305382274
2927,1255,239,101,156,0.278237807
2928,1190,784,59,124,0.19930101
2929,1194,790,12,94,0.10064562
2930,267,506,62,116,0.869677548
2931,147,393,144,33,0.186392437
2932,695,269,62,128,0.170492209
2933,216,907,126,153,0.271083718
2934,1674,202,64,124,0.745110211
2935,464,656,131,169,0.45712511
2936,1459,279,27,197,0.935084007
2937,1312,954,168,76,0.489335035
2938,936,508,82,145,0.392671444
2939,224,297,85,70,0.392693279
2940,423,334,178,41,0.503325125
2941,371,798,131,158,0.44857694
2942,1433,595,134,78,0.060659734
2943,1605,571,161,131,0.958400532
2944,901,263,71,150,0.568357407
2945,1141,375,157,194,0.939670858
2946,1153,614,14,120,0.032969405
2947,902,976,176,139,0.957782144
2948,218,711,101,10,0.848968993
2949,1684,813,28,81,0.109798693
2950,1748,519,118,194,0.842665167
2951,355,706,43,163,0.42889188
2952,1277,821,16,34,0.348564674
2953,1741,744,182,20,0.951247686
2954,740,196,60,96,0.881411962
2955,1085,336,96,121,0.635407905
2956,176,473,19,55,0.799981277
2957,373,519,137,84,0.650134603
2958,1561,692,73,165,0.679569569
2959,151,973,18,11,0.115633032
2960,376,66,115,149,0.364464566
2961,449,748,93,170,0.14850043
2962,1505,323,21,72,0.352823979
2963,499,436,90,21,0.529320102
2964,1359,460,191,19,0.692950968
2965,1718,412,126,160,0.415527778
2966,68,519,130,134,0.816344883
2967,894,986,17,172,0.028456944
2968,1099,491,149,17,0.252730365
2969,1269,328,41,120,0.819602257
2970,1690,495,20,80,0.689237908
2971,490,138,115,191,0.049946327
2972,939,835,196,112,0.981126589
2973,1449,937,25,87,0.437177987
2974,497,183,178,120,0.384509564
2975,1783,741,10,140,0.159592475
2976,449,367,56,66,0.920172799
2977,749,260,61,48,0.735002201
2978,664,905,128,148,0.010944631
2979,876,615,37,191,0.917492213
2980,301,318,166,116,0.370315449
2981,493,907,42,25,0.110257025
2982,1748,575,14,13,0.165890095
2983,647,423,166,197,0.127413933
2984,371,354,108,170,0.317109339
2985,233,115,43,75,0.843319338
2986,1564,596,75,142,0.987232869
2987,212,402,141,56,0.728602817
2988,53,869,105,185,0.936357119
2989,263,258,66,190,0.075350331
2990,779,404,162,102,0.970594314
2991,1122,633,17,108,0.148074698
2992,917,748,16,67,0.289840524
2993,1097,934,33,150,0.179024866
2994,974,974,107,172,0.816644149
2995,1097,250,151,39,0.782752319
2996,395,891,135,161,0.861816593
2997,50,757,110,188,0.537980187
2998,553,525,170,153,0.543050003
2999,1311,206,37,70,0.044444439
3000,267,543,111,44,0.883598964
3001,711,633,125,158,0.029150228
3002,925,647,31,60,0.886118876
3003,1079,718,187,149,0.904721506
3004,190,337,184,88,0.316127592
3005,441,462,127,194,0.869004748
3006,1699,91,15,134,0.272295018
3007,306,589,55,113,0.238551641
3008,1505,565,200,152,0.419508398
3009,108,895,105,58,0.385391593
3010,1704,915,196,64,0.597267103
3011,518,928,133,102,0.529661745
3012,383,441,46,63,0.402425361
3013,856,477,83,14,0.541568001
3014,932,485,34,163,0.838227048
3015,1086,871,62,152,0.131589367
3016,510,512,150,181,0.487013051
3017,77,672,121,172,0.987921413
3018,952,401,133,180,0.646219782
3019,223,226,183,88,0.035908604
3020,632,694,142,54,0.973876981
3021,1358,792,112,151,0.140693124
3022,223,889,48,54,0.425008255
3023,1646,518,32,138,0.240013601
3024,807,158,60,13,0.716564712
3025,1733,652,103,66,0.74326664
3026,1343,386,55,12,0.882671918
3027,104,698,11,24,0.43910339
3028,100,476,88,175,0.71609576
3029,1181,145,131,59,0.395701088
3030,675,374,112,108,0.746255544
3031,1399,883,110,164,0.184594237
3032,1218,359,54,171,0.725359574
3033,1484,292,163,50,0.767034853
3034,246,802,104,155,0.798334737
3035,1790,182,24,86,0.930204561
3036,1600,168,149,98,0.766977927
3037,1035,665,24,139,0.978576547
3038,914,515,75,77,0.254187868
3039,1301,691,142,128,0.992424411
3040,850,790,31,115,0.994883291
3041,1030,579,150,142,0.422226645
3042,930,138,64,102,0.592035558
3043,661,697,100,177,0.491767516
3044,1230,292,23,125,0.562746911
3045,1205,413,66,151,0.244818846
3046,440,725,175,197,0.90548005
3047,217,923,119,44,0.424273669
3048,346,512,158,115,0.343791148
3049,837,973,78,171,0.682611709
3050,1680,393,13,97,0.27818155
3051,1283,317,32,108,0.103568403
3052,805,305,28,65,0.9724638
3053,491,507,116,102,0.423585355
3054,810,132,18,42,0.387133812
3055,117,492,27,142,0.318446803
3056,321,79,163,147,0.44489228
3057,1045,482,103,82,0.50826056
3058,1627,385,183,76,0.877496636
3059,1252,755,52,136,0.313432191
3060,684,600,41,26,0.511733055
3061,677,933,148,101,0.384178456
3062,443,264,111,168,0.107840173
3063,144,843,75,148,0.787569443
3064,472,690,177,38,0.932476037
3065,467,591,73,122,0.195824838
3066,1405,567,127,56,0.02209898
3067,837,308,123,175,0.529412293
3068,673,70,37,58,0.533431221
3069,1480,556,49,199,0.339875265
3070,867,720,47,36,0.552197714
3071,198,531,100,63,0.005825393
3072,275,375,175,119,0.925853799
3073,446,943,17,138,0.461987833
3074,451,337,22,158,0.707796447
3075,379,953,89,94,0.729573668
3076,1568,948,40,16,0.263434592
3077,92,61,153,76,0.218355436
3078,873,759,90,31,0.602840083
3079,1122,842,191,81,0.246184988
3080,1472,895,173,14,0.442324356
3081,1337,620,165,36,0.916835121
3082,184,229,171,167,0.639639445
3083,1094,650,54,19,0.533694364
3084,1289,444,143,84,0.471074396
3085,1257,238,169,119,0.370307983
3086,139,544,142,65,0.091722788
3087,1506,830,194,73,0.658000785
3088,873,557,143,119,0.119481609
3089,1313,431,16,163,0.930004982
3090,1071,987,188,174,0.116804307
3091,225,500,51,138,0.997290706
3092,1430,426,32,160,0.895238936
3093,1460,508,131,35,0.459988843
3094,720,165,47,37,0.152733193
3095,1095,113,32,71,0.45636306
3096,89,628,87,183,0.99956993
3097,226,335,160,24,0.960814948
3098,1199,667,16,60,0.518689378
3099,916,168,90,159,0.60715409
3100,228,112,33,133,0.703102857
3101,945,126,113,33,0.182503477
3102,1630,163,15,25,0.983041943
3103,1636,904,112,162,0.186435979
3104,1426,104,24,96,0.241571339
3105,1770,791,111,142,0.090949293
3106,1367,608,23,59,0.966536244
3107,1306,482,63,17,0.677337952
3108,1548,456,89,173,0.417260732
3109,636,538,77,181,0.834801051
3110,693,606,41,157,0.401015027
3111,479,339,138,113,0.526024445
3112,665,200,72,119,0.265644473
3113,725,167,183,194,0.704452147
3114,439,415,68,178,0.680187943
3115,995,614,36,41,0.545084688
3116,629,253,190,106,0.534542378
3117,1725,479,64,133,0.001480417
3118,1792,441,199,14,0.172272763
3119,55,844,140,16,0.88454553
3120,722,723,132,132,0.642803111
3121,755,736,188,111,0.306203045
3122,126,768,46,105,0.474869255
3123,754,985,158,129,0.377871223
3124,190,950,134,123,0.851622602
3125,103,288,25,168,0.780189522
3126,432,723,54,122,0.859335098
3127,223,232,75,53,0.100523709
3128,454,670,94,26,0.250258438
3129,1308,516,198,30,0.249842345
3130,775,490,33,101,0.739886643
3131,1103,493,121,125,0.763428597
3132,1354,314,142,41,0.934500164
3133,730,303,126,131,0.036455717
3134,1085,184,114,73,0.320222088
3135,1594,823,42,162,0.347771454
3136,1494,987,87,108,0.001377628
3137,1214,359,128,40,0.308775838
3138,1706,151,82,56,0.86131064
3139,1129,187,12,21,0.57557913
3140,1239,659,82,193,0.142316311
3141,1082,68,37,165,0.240324793
3142,909,895,122,133,0.764031579
3143,1048,196,28,169,0.15107551
3144,1708,611,41,111,0.088761442
3145,832,237,100,41,0.838398762
3146,1498,990,21,38,0.310737875
3147,1531,526,67,131,0.829586809
3148,1521,338,43,106,0.688353107
3149,1692,884,169,96,0.17394192
3150,117,290,55,147,0.394318484
3151,669,749,55,150,0.147010064
3152,1544,200,76,44,0.414619255
3153,882,266,78,45,0.630402355
3154,580,897,58,78,0.3964217
3155,597,252,132,173,0.753633991
3156,836,205,22,103,0.443178608
3157,1171,268,170,23,0.750715921
3158,406,683,58,127,0.90495968
3159,1739,881,172,185,0.060155092
3160,717,294,91,27,0.568830906
3161,1401,677,22,110,0.141150906
3162,1236,324,89,15,0.877516899
3163,883,273,177,98,0.952586975
3164,1322,516,99,80,0.603185905
3165,1050,912,143,36,0.656237507
3166,1619,226,30,86,0.798561276
3167,663,711,186,83,0.892118213
3168,1599,546,152,47,0.296983025
3169,1448,371,33,161,0.456356773
3170,584,401,54,31,0.808959066
3171,1264,284,52,151,0.026121163
3172,1557,937,71,22,0.831545572
3173,928,157,161,14,0.774096447
3174,1667,758,39,115,0.46023574
3175,935,327,15,102,0.007916672
3176,1510,887,12,95,0.920213581
3177,1262,563,190,194,0.823599748
3178,1558,632,140,75,0.441792536
3179,1703,844,38,165,0.415354859
3180,1008,225,191,95,0.126085888
3181,390,940,58,103,0.049745588
3182,963,347,160,179,0.963773538
3183,1056,115,197,155,0.18910732
3184,336,307,18,109,0.210394858
3185,378,406,162,80,0.218508884
3186,1312,508,67,110,0.302090672
3187,980,620,167,187,0.368270587
3188,650,527,162,191,0.089009064
3189,1046,199,75,177,0.32778904
3190,1018,945,78,19,0.782536173
3191,161,179,76,196,0.204439088
3192,221,948,59,94,0.730607651
3193,666,610,96,90,0.169336183
3194,1265,861,159,138,0.46827861
3195,882,830,62,102,0.269932918
3196,1029,526,89,39,0.505246992
3197,935,86,142,88,0.38854182
3198,302,152,92,148,0.309625137
3199,1204,696,140,40,0.076519709
3200,1486,928,37,106,0.583995399
3201,709,768,44,111,0.080116441
3202,842,70,165,138,0.82412815
3203,1291,556,180,71,0.477147723
3204,841,720,53,25,0.638732588
3205,502,331,149,30,0.987293012
3206,876,417,96,65,0.35564158
3207,688,314,102,139,0.123485535
3208,1047,894,41,56,0.443395286
3209,169,91,107,68,0.051028122
3210,128,709,144,165,0.494683381
3211,1035,171,60,138,0.367044725
3212,61,881,79,87,0.054235562
3213,1668,330,49,56,0.422989096
3214,1211,970,69,178,0.675384468
3215,1217,993,58,103,0.882104765
3216,114,87,185,177,0.621200157
3217,1271,597,59,174,0.381215958
3218,986,706,178,149,0.332393774
3219,1497,205,30,52,0.556898089
3220,1597,137,98,166,0.889209203
3221,498,381,44,188,0.412486189
3222,404,245,109,106,0.842389278
3223,830,773,129,107,0.668004555
3224,1792,622,100,161,0.357213391
3225,1549,252,73,12,0.510008418
3226,1423,371,119,166,0.558590762
3227,577,298,163,10,0.376518901
3228,222,715,91,72,0.333568098
3229,1008,785,121,58,0.869859405
3230,857,206,80,151,0.002692852
3231,1411,77,101,29,0.461341134
3232,771,933,135,112,0.391195035
3233,1073,525,19,118,0.161983748
3234,738,317,179,155,0.28778315
3235,1157,247,144,58,0.264399679
3236,913,564,105,18,0.720133143
3237,1492,596,52,197,0.274369586
3238,1693,519,57,99,0.255022237
3239,146,543,30,89,0.246756042
3240,68,680,110,181,0.235622382
3241,1467,324,136,62,0.660127802
3242,242,907,71,146,0.829618974
3243,812,992,62,42,0.773712265
3244,1629,226,77,14,0.200713263
3245,1158,411,163,21,0.669478767
3246,239,676,112,170,0.027133085
3247,1637,209,130,83,0.393639171
3248,1509,217,22,84,0.859295843
3249,1060,131,67,65,0.249324466
3250,1490,804,147,12,0.902898339
3251,1731,643,88,198,0.278970201
3252,1224,171,142,38,0.812866811
3253,1330,493,178,27,0.125667106
3254,1085,880,50,196,0.630137829
3255,1220,306,136,95,0.406405674
3256,1127,542,146,192,0.933765997
3257,399,786,93,104,0.910969657
3258,1470,482,197,34,0.802683829
3259,878,832,144,192,0.114861188
3260,668,666,162,100,0.19810646
3261,205,686,10,136,0.358560155
3262,884,926,189,180,0.17930336
3263,979,640,117,84,0.493130968
3264,836,550,142,134,0.647410641
3265,843,715,127,34,0.075786398
3266,1395,943,171,184,0.469263775
3267,1153,193,90,111,0.993440637
3268,1013,919,107,139,0.333245784
3269,504,186,108,177,0.662703899
3270,1368,405,40,148,0.435481093
3271,558,992,42,26,0.788664326
3272,916,194,160,81,0.078656367
3273,877,495,98,30,0.984572355
3274,204,313,154,38,0.972078389
3275,707,809,34,101,0.808631691
3276,1406,114,74,164,0.176755377
3277,719,59,126,111,0.18474664
3278,1289,784,53,126,0.086901335
3279,792,268,83,29,0.182600602
3280,458,100,49,152,0.942029881
3281,112,489,155,149,0.796150387
3282,1135,876,31,168,0.253596278
3283,1468,914,162,120,0.978674214
3284,1108,394,40,36,0.793383198
3285,1142,90,191,68,0.974279015
3286,357,552,85,121,0.957576377
3287,836,662,142,100,0.361698573
3288,1451,349,70,81,0.939659457
3289,1361,638,124,149,0.702631168
3290,1308,474,88,73,0.704177561
3291,1645,255,153,165,0.0570254
3292,1654,117,115,55,0.068683899
3293,1299,377,54,49,0.074071793
3294,826,701,144,185,0.72123123
3295,688,702,162,33,0.728093451
3296,1453,564,157,59,0.382973466
3297,725,616,183,185,0.372580493
3298,1208,87,11,95,0.551399798
3299,516,699,148,142,0.143642461
3300,900,653,140,83,0.391707922
3301,92,409,34,114,0.014580228
3302,474,419,184,18,0.574321878
3303,68,328,145,140,0.93018164
3304,785,686,199,72,0.303976567
3305,589,516,20,88,0.037196499
3306,1106,435,18,163,0.869011786
3307,933,880,40,134,0.481079763
3308,1254,777,70,199,0.141199402
3309,908,294,58,130,0.695742772
3310,1470,92,177,163,0.795966877
3311,1561,596,28,113,0.909780131
3312,1351,193,75,49,0.597658363
3313,214,314,177,149,0.252203618
3314,1087,991,98,32,0.910030778
3315,920,996,25,66,0.160161988
3316,1114,197,165,35,0.755511005
3317,787,752,167,191,0.62367489
3318,1288,383,164,144,0.363866479
3319,995,266,174,100,0.670458408
3320,1692,532,63,12,0.140420018
3321,1486,368,21,57,0.314386086
3322,767,284,74,50,0.861121281
3323,247,535,85,131,0.182666189
3324,166,190,99,98,0.177642385
3325,1213,699,170,63,0.077473791
3326,1354,309,75,157,0.465980735
3327,1745,995,31,71,0.179102845
3328,1549,852,198,193,0.053070344
3329,1664,307,62,114,0.077346219
3330,527,308,178,34,0.887142948
3331,492,825,48,88,0.304514776
3332,905,91,32,189,0.915884504
3333,1768,705,139,88,0.958516333
3334,440,916,83,41,0.707087234
3335,477,987,48,198,0.95237517
3336,539,180,181,136,0.983651782
3337,1607,297,169,20,0.686699461
3338,1293,666,156,199,0.455481255
3339,1764,178,22,170,0.300354894
3340,1758,802,30,38,0.210997431
3341,1551,122,193,154,0.155366926
3342,1125,908,44,139,0.15044821
3343,1093,137,57,158,0.39735217
3344,1377,610,110,152,0.782291684
3345,221,855,103,123,0.425325386
3346,1410,134,98,181,0.601661421
3347,1398,789,18,10,0.562288625
3348,1633,908,186,10,0.545819822
3349,801,703,65,25,0.543925675
3350,1347,552,117,144,0.474030798
3351,366,466,38,186,0.756990513
3352,57,575,21,123,0.241640825
3353,1519,569,127,194,0.540348028
3354,247,289,33,195,0.538912824
3355,635,250,21,129,0.370143066
3356,979,255,102,121,0.100986091
3357,1528,137,22,42,0.417172521
3358,1341,653,94,161,0.272510742
3359,1066,92,76,173,0.308597324
3360,1215,277,104,164,0.847415586
3361,1497,407,111,140,0.681812692
3362,238,351,61,97,0.47892743
3363,264,113,163,38,0.642485294
3364,562,219,185,144,0.468968525
3365,1754,201,114,14,0.474407465
3366,239,305,39,23,0.399331963
3367,433,247,115,165,0.753822789
3368,332,640,96,175,0.793150261
3369,1771,600,35,87,0.832846454
3370,603,985,190,178,0.952645444
3371,66,388,183,55,0.96838559
3372,1661,851,158,180,0.319792128
3373,1103,173,121,46,0.585993145
3374,1225,216,170,140,0.990925281
3375,1216,276,39,184,0.684280165
3376,1628,422,133,179,0.008559479
3377,1220,379,131,126,0.934231986
3378,279,321,160,167,0.20931587
3379,702,486,136,192,0.852629302
3380,831,576,153,19,0.748507143
3381,1453,652,41,11,0.312006569
3382,1537,98,10,131,0.210938274
3383,787,665,24,131,0.299741284
3384,1339,374,68,69,0.348291898
3385,1330,327,94,165,0.137854314
3386,796,815,198,22,0.696105815
3387,1212,55,38,125,0.257783671
3388,786,148,46,39,0.479151887
3389,320,779,194,32,0.224393259
3390,880,116,75,102,0.995813876
3391,1211,664,197,181,0.846184377
3392,696,952,135,110,0.035325904
3393,1043,99,52,33,0.767502208
3394,192,330,25,36,0.718715191
3395,912,771,10,91,0.184817534
3396,352,972,49,190,0.63661305
3397,1421,772,42,120,0.531451555
3398,182,200,35,148,0.840253557
3399,585,201,27,12,0.446486741
3400,1178,878,99,183,0.874281904
3401,813,354,15,87,0.72947212
3402,397,755,57,112,0.958419845
3403,708,350,14,133,0.259945945
3404,798,934,146,103,0.621287124
3405,874,317,83,89,0.221536585
3406,1638,901,21,118,0.786095199
3407,1220,200,32,186,0.668861508
3408,511,245,56,120,0.793497831
3409,709,381,51,191,0.34567441
3410,162,139,66,103,0.020887211
3411,1160,495,187,68,0.675761305
3412,1028,808,160,176,0.006024668
3413,1245,342,16,43,0.396884744
3414,1441,418,19,138,0.811642322
3415,170,915,106,181,0.320580571
3416,289,862,66,66,0.505995581
3417,632,216,107,84,0.779915215
3418,640,785,138,58,0.810130255
3419,657,525,199,59,0.060158131
3420,690,901,14,127,0.208309192
3421,1484,526,51,155,0.672038386
3422,1604,685,166,189,0.664895022
3423,807,539,171,12,0.563955642
3424,1379,51,49,64,0.02806387
3425,1305,193,34,174,0.371464698
3426,242,667,92,43,0.511202574
3427,655,588,104,109,0.95398724
3428,1406,824,106,184,0.340512649
3429,644,573,168,104,0.287595641
3430,1386,463,62,80,0.752534063
3431,342,130,155,178,0.181540869
3432,1600,341,45,140,0.625591349
3433,1456,324,33,188,0.122861047
3434,1480,173,103,107,0.505664414
3435,1397,168,45,78,0.656209808
3436,466,871,164,119,0.463751519
3437,587,97,194,154,0.429869884
3438,1348,217,102,37,0.088200346
3439,301,549,152,60,0.560789102
3440,458,677,74,91,0.326684652
3441,623,929,62,40,0.693957406
3442,578,912,84,100,0.28967753
3443,401,120,189,59,0.78873906
3444,1686,609,113,196,0.354240209
3445,119,545,126,172,0.429873311
3446,1217,959,19,149,0.337594647
3447,500,655,148,91,0.151064622
3448,680,174,86,130,0.095762838
3449,929,253,67,130,0.650103282
3450,1752,839,156,46,0.27948955
3451,1535,315,179,37,0.22318237
3452,1318,260,170,151,0.969871172
3453,622,173,108,133,0.940942126
3454,1376,392,20,188,0.57460822
3455,578,633,93,156,0.076838896
3456,1426,587,103,172,0.447575254
3457,1717,468,54,56,0.393174869
3458,582,480,77,72,0.240006893
3459,1670,375,180,63,0.721687834
3460,1065,905,128,48,0.918179474
3461,1340,183,123,28,0.779725113
3462,768,854,126,198,0.684647129
3463,966,760,175,78,0.539104045
3464,230,165,57,57,0.261952809
3465,138,651,171,94,0.081910936
3466,1031,276,147,39,0.192357026
3467,1506,897,38,97,0.146202301
3468,575,564,27,23,0.502067778
3469,563,864,70,92,0.135568186
3470,1565,512,182,176,0.346026848
3471,957,210,159,131,0.369037221
3472,162,190,155,13,0.138524353
3473,108,827,27,97,0.966615883
3474,1213,844,182,10,0.481027776
3475,587,76,38,46,0.889147916
3476,1738,358,168,138,0.968194936
3477,1065,417,49,198,0.489377543
3478,374,153,148,64,0.49516886
3479,157,456,177,79,0.257460446
3480,680,242,159,62,0.436847802
3481,499,432,169,28,0.571385702
3482,1005,488,57,53,0.687483869
3483,892,163,45,95,0.680629991
3484,1537,203,60,114,0.562768929
3485,410,159,28,26,0.389610346
3486,1659,834,114,200,0.599466804
3487,241,784,66,193,0.779872223
3488,614,343,138,147,0.155187815
3489,1360,215,63,88,0.832479757
3490,724,366,143,179,0.657309841
3491,158,673,111,52,0.923245015
3492,145,189,129,67,0.356713168
3493,985,182,68,17,0.886091255
3494,999,150,131,26,0.909080729
3495,1326,330,69,127,0.755608412
3496,605,358,197,83,0.441666016
3497,625,938,132,24,0.348916323
3498,1068,860,151,65,0.776729485
3499,1472,239,53,154,0.441677111
3500,516,290,36,77,0.488001749
3501,1729,518,197,53,0.674680414
3502,892,503,149,75,0.406684791
3503,89,291,86,104,0.281901115
3504,369,664,78,153,0.033786425
3505,1144,438,96,56,0.181821446
3506,1236,188,149,196,0.764789416
3507,1536,841,178,97,0.070749962
3508,1349,774,106,37,0.132817878
3509,653,256,139,19,0.573554405
3510,607,818,115,122,0.641253336
3511,115,960,109,129,0.795472153
3512,312,801,114,193,0.335035662
3513,1187,449,170,185,0.677775657
3514,933,275,168,88,0.461550501
3515,428,65,187,42,0.453198012
3516,1596,253,104,32,0.838705392
3517,1123,439,56,151,0.265402814
3518,1430,469,185,99,0.799662469
3519,1550,587,71,15,0.436067096
3520,173,687,111,14,0.462278619
3521,1156,624,132,19,0.613284282
3522,685,223,57,14,0.840255431
3523,810,947,156,14,0.761464657
3524,547,399,193,123,0.350083262
3525,425,338,42,59,0.523470906
3526,1387,326,197,182,0.203496644
3527,814,750,189,107,0.305670515
3528,248,112,146,173,0.944762707
3529,1115,604,84,56,0.059875918
3530,1347,664,35,68,0.945889309
3531,1058,261,78,33,0.101580607
3532,1726,763,10,198,0.427117497
